Section,Division,Groupe,Classe,Genre,Code,Name_fr
"A","","","","","A","AGRICULTURE, SYLVICULTURE ET PÊCHE"
"","01","","","","01","Culture et production animale, chasse et services annexes"
"","","011","","","011","Cultures non permanentes"
"","","","0111","","0111","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"","","","","011100","011100","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"","","","0112","","0112","Culture du riz"
"","","","","011200","011200","Culture du riz"
"","","","0113","","0113","Culture de légumes, de melons, de racines et de tubercules"
"","","","","011300","011300","Culture de légumes, de melons, de racines et de tubercules"
"","","","0114","","0114","Culture de la canne à sucre"
"","","","","011400","011400","Culture de la canne à sucre"
"","","","0115","","0115","Culture du tabac"
"","","","","011500","011500","Culture du tabac"
"","","","0116","","0116","Culture de plantes à fibres"
"","","","","011600","011600","Culture de plantes à fibres"
"","","","0119","","0119","Autres cultures non permanentes"
"","","","","011900","011900","Autres cultures non permanentes"
"","","012","","","012","Cultures permanentes"
"","","","0121","","0121","Culture de la vigne"
"","","","","012101","012101","Culture de la vigne"
"","","","","012102","012102","Viticulture - Encavage"
"","","","0122","","0122","Culture de fruits tropicaux et subtropicaux"
"","","","","012200","012200","Culture de fruits tropicaux et subtropicaux"
"","","","0123","","0123","Culture d'agrumes"
"","","","","012300","012300","Culture d'agrumes"
"","","","0124","","0124","Culture de fruits à pépins et à noyau"
"","","","","012400","012400","Culture de fruits à pépins et à noyau"
"","","","0125","","0125","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque"
"","","","","012500","012500","Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque"
"","","","0126","","0126","Culture de fruits oléagineux"
"","","","","012600","012600","Culture de fruits oléagineux"
"","","","0127","","0127","Culture de plantes à boissons"
"","","","","012700","012700","Culture de plantes à boissons"
"","","","0128","","0128","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
"","","","","012800","012800","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
"","","","0129","","0129","Autres cultures permanentes"
"","","","","012900","012900","Autres cultures permanentes"
"","","013","","","013","Reproduction de plantes"
"","","","0130","","0130","Reproduction de plantes"
"","","","","013000","013000","Multiplication et production de plantes"
"","","014","","","014","Production animale"
"","","","0141","","0141","Élevage de vaches laitières"
"","","","","014100","014100","Élevage de vaches laitières"
"","","","0142","","0142","Élevage d'autres bovins et de buffles"
"","","","","014200","014200","Élevage d'autres bovins et de buffles"
"","","","0143","","0143","Élevage de chevaux et d'autres équidés"
"","","","","014300","014300","Élevage de chevaux et d'autres équidés"
"","","","0144","","0144","Élevage de chameaux et d'autres camélidés"
"","","","","014400","014400","Élevage de chameaux et d'autres camélidés"
"","","","0145","","0145","Élevage d'ovins et de caprins"
"","","","","014500","014500","Élevage d'ovins et de caprins"
"","","","0146","","0146","Élevage de porcins"
"","","","","014600","014600","Élevage de porcins"
"","","","0147","","0147","Élevage de volailles"
"","","","","014700","014700","Élevage de volailles"
"","","","0149","","0149","Élevage d'autres animaux"
"","","","","014900","014900","Élevage d'autres animaux"
"","","015","","","015","Culture et élevage associés"
"","","","0150","","0150","Culture et élevage associés"
"","","","","015000","015000","Culture et élevage associés"
"","","016","","","016","Activités de soutien à l'agriculture et traitement primaire des récoltes"
"","","","0161","","0161","Activités de soutien aux cultures"
"","","","","016100","016100","Activités de soutien aux cultures"
"","","","0162","","0162","Activités de soutien à la production animale"
"","","","","016200","016200","Activités de soutien à la production animale"
"","","","0163","","0163","Traitement primaire des récoltes"
"","","","","016300","016300","Traitement primaire des récoltes"
"","","","0164","","0164","Traitement des semences"
"","","","","016400","016400","Traitement des semences"
"","","017","","","017","Chasse, piégeage et services annexes"
"","","","0170","","0170","Chasse, piégeage et services annexes"
"","","","","017000","017000","Chasse, piégeage et services annexes"
"","02","","","","02","Sylviculture et exploitation forestière"
"","","021","","","021","Sylviculture et autres activités forestières"
"","","","0210","","0210","Sylviculture et autres activités forestières"
"","","","","021000","021000","Sylviculture et autres activités forestières"
"","","022","","","022","Exploitation forestière"
"","","","0220","","0220","Exploitation forestière"
"","","","","022000","022000","Exploitation forestière"
"","","023","","","023","Récolte de produits forestiers non ligneux poussant à l'état sauvage"
"","","","0230","","0230","Récolte de produits forestiers non ligneux poussant à l'état sauvage"
"","","","","023000","023000","Récolte de produits forestiers non ligneux poussant à l'état sauvage"
"","","024","","","024","Services de soutien à l'exploitation forestière"
"","","","0240","","0240","Services de soutien à l'exploitation forestière"
"","","","","024000","024000","Services de soutien à l'exploitation forestière"
"","03","","","","03","Pêche et aquaculture"
"","","031","","","031","Pêche"
"","","","0311","","0311","Pêche en mer"
"","","","","031100","031100","Pêche en mer"
"","","","0312","","0312","Pêche en eau douce"
"","","","","031200","031200","Pêche en eau douce"
"","","032","","","032","Aquaculture"
"","","","0321","","0321","Aquaculture en mer"
"","","","","032100","032100","Aquaculture en mer"
