Sezione,Divisione,Gruppo,,Genere,Code,Name_it
"A","","","","","A","AGRICOLTURA, SILVICOLTURA E PESCA"
"","01","","","","01","Produzioni vegetali e animali, caccia e servizi connessi"
"","","011","","","011","Coltivazione di colture agricole non permanenti"
"","","","0111","","0111","Coltivazione di cereali (tranne il riso), legumi da granella e semi oleosi"
"","","","","011100","011100","Coltivazione di cereali (tranne il riso), legumi da granella e semi oleosi"
"","","","0112","","0112","Coltivazione del riso"
"","","","","011200","011200","Coltivazione del riso"
"","","","0113","","0113","Coltivazione di ortaggi e meloni, radici e tuberi"
"","","","","011300","011300","Coltivazione di ortaggi e meloni, radici e tuberi"
"","","","0114","","0114","Coltivazione di canna da zucchero"
"","","","","011400","011400","Coltivazione di canna da zucchero"
"","","","0115","","0115","Coltivazione di tabacco"
"","","","","011500","011500","Coltivazione di tabacco"
"","","","0116","","0116","Coltivazione di piante tessili"
"","","","","011600","011600","Coltivazione di piante tessili"
"","","","0119","","0119","Coltivazione di altre colture non permanenti"
"","","","","011900","011900","Coltivazione di altre colture non permanenti"
"","","012","","","012","Coltivazione di colture permanenti"
"","","","0121","","0121","Coltivazione di uva"
"","","","","012101","012101","Coltivazione di uva"
"","","","","012102","012102","Viticoltura - Vinificazione e Invecchiamento"
"","","","0122","","0122","Coltivazione di frutta di origine tropicale e subtropicale"
"","","","","012200","012200","Coltivazione di frutta di origine tropicale e subtropicale"
"","","","0123","","0123","Coltivazione di agrumi"
"","","","","012300","012300","Coltivazione di agrumi"
"","","","0124","","0124","Coltivazione di pomacee e frutta a nocciolo"
"","","","","012400","012400","Coltivazione di pomacee e frutta a nocciolo"
"","","","0125","","0125","Coltivazione di altri alberi da frutta, frutti di bosco e in guscio"
"","","","","012500","012500","Coltivazione di altri alberi da frutta, frutti di bosco e in guscio"
"","","","0126","","0126","Coltivazione di frutti oleosi"
"","","","","012600","012600","Coltivazione di frutti oleosi"
"","","","0127","","0127","Coltivazione di piante per la produzione di bevande"
"","","","","012700","012700","Coltivazione di piante per la produzione di bevande"
"","","","0128","","0128","Coltivazione di spezie, piante aromatiche e farmaceutiche"
"","","","","012800","012800","Coltivazione di spezie, piante aromatiche e farmaceutiche"
"","","","0129","","0129","Coltivazione di altre colture permanenti"
"","","","","012900","012900","Coltivazione di altre colture permanenti"
"","","013","","","013","Riproduzione delle piante"
"","","","0130","","0130","Riproduzione delle piante"
"","","","","013000","013000","Riproduzione delle piante"
"","","014","","","014","Allevamento di animali"
"","","","0141","","0141","Allevamento di bovini da latte"
"","","","","014100","014100","Allevamento di bovini da latte"
"","","","0142","","0142","Allevamento di altri bovini e di bufalini"
"","","","","014200","014200","Allevamento di altri bovini e di bufalini"
"","","","0143","","0143","Allevamento di cavalli e altri equini"
"","","","","014300","014300","Allevamento di cavalli e altri equini"
"","","","0144","","0144","Allevamento di cammelli e camelidi"
"","","","","014400","014400","Allevamento di cammelli e camelidi"
"","","","0145","","0145","Allevamento di ovini e caprini"
"","","","","014500","014500","Allevamento di ovini e caprini"
"","","","0146","","0146","Allevamento di suini"
"","","","","014600","014600","Allevamento di suini"
"","","","0147","","0147","Allevamento di pollame"
"","","","","014700","014700","Allevamento di pollame"
"","","","0149","","0149","Allevamento di altri animali"
"","","","","014900","014900","Allevamento di altri animali"
"","","015","","","015","Coltivazioni agricole associate all'allevamento di animali: attività mista"
"","","","0150","","0150","Coltivazioni agricole associate all'allevamento di animali: attività mista"
"","","","","015000","015000","Coltivazioni agricole associate all'allevamento di animali: attività mista"
"","","016","","","016","Attività di supporto all'agricoltura e attività successive alla raccolta"
"","","","0161","","0161","Attività di supporto alla produzione vegetale"
"","","","","016100","016100","Attività di supporto alla produzione vegetale"
"","","","0162","","0162","Attività di supporto alla produzione animale"
"","","","","016200","016200","Attività di supporto alla produzione animale"
"","","","0163","","0163","Attività successive alla raccolta"
"","","","","016300","016300","Attività successive alla raccolta"
"","","","0164","","0164","Lavorazione delle sementi per la semina"
"","","","","016400","016400","Lavorazione delle sementi per la semina"
"","","017","","","017","Caccia, cattura di animali e servizi connessi"
"","","","0170","","0170","Caccia, cattura di animali e servizi connessi"
"","","","","017000","017000","Caccia, cattura di animali e servizi connessi"
"","02","","","","02","Silvicoltura e utilizzo di aree forestali"
"","","021","","","021","Silvicoltura e altre attività forestali"
"","","","0210","","0210","Silvicoltura e altre attività forestali"
"","","","","021000","021000","Silvicoltura e altre attività forestali"
"","","022","","","022","Utilizzo di aree forestali"
"","","","0220","","0220","Utilizzo di aree forestali"
"","","","","022000","022000","Utilizzo di aree forestali"
"","","023","","","023","Raccolta di prodotti non legnosi selvatici"
"","","","0230","","0230","Raccolta di prodotti non legnosi selvatici"
"","","","","023000","023000","Raccolta di prodotti non legnosi selvatici"
"","","024","","","024","Servizi di supporto per la silvicoltura"
"","","","0240","","0240","Servizi di supporto per la silvicoltura"
"","","","","024000","024000","Servizi di supporto per la silvicoltura"
"","03","","","","03","Pesca e acquicoltura"
"","","031","","","031","Pesca"
"","","","0311","","0311","Pesca marina"
"","","","","031100","031100","Pesca marina"
"","","","0312","","0312","Pesca in acque dolci"
"","","","","031200","031200","Pesca in acque dolci"
"","","032","","","032","Acquicoltura"
"","","","0321","","0321","Acquicoltura marina"
"","","","","032100","032100","Acquicoltura marina"
"","","","0322","","0322","Acquicoltura in acque dolci"
"","","","","032200","032200","Acquicoltura in acque dolci"
"B","","","","","B","ATTIVITÀ ESTRATTIVA"
"","05","","","","05","Estrazione di carbone e lignite"
"","","051","","","051","Estrazione di antracite"
"","","","0510","","0510","Estrazione di antracite"
"","","","","051000","051000","Estrazione di antracite"
"","","052","","","052","Estrazione di lignite"
"","","","0520","","0520","Estrazione di lignite"
"","","","","052000","052000","Estrazione di lignite"
"","06","","","","06","Estrazione di petrolio greggio e di gas naturale"
"","","061","","","061","Estrazione di petrolio greggio"
"","","","0610","","0610","Estrazione di petrolio greggio"
"","","","","061000","061000","Estrazione di petrolio greggio"
"","","062","","","062","Estrazione di gas naturale"
"","","","0620","","0620","Estrazione di gas naturale"
"","","","","062000","062000","Estrazione di gas naturale"
"","07","","","","07","Estrazione di minerali metalliferi"
"","","071","","","071","Estrazione di minerali metalliferi ferrosi"
"","","","0710","","0710","Estrazione di minerali metalliferi ferrosi"
"","","","","071000","071000","Estrazione di minerali metalliferi ferrosi"
"","","072","","","072","Estrazione di minerali metalliferi non ferrosi"
"","","","0721","","0721","Estrazione di minerali di uranio e di torio"
"","","","","072100","072100","Estrazione di minerali di uranio e di torio"
"","","","0729","","0729","Estrazione di altri minerali metalliferi non ferrosi"
"","","","","072900","072900","Estrazione di altri minerali metalliferi non ferrosi"
"","08","","","","08","Altre attività estrattive"
"","","081","","","081","Estrazione di pietra, sabbia e argilla"
