Abschnitt,Abteilung,Gruppe,Klasse,Art,Code,Name_de
"A","","","","","A","LAND- UND FORSTWIRTSCHAFT, FISCHEREI"
"","01","","","","01","Landwirtschaft, Jagd und damit verbundene Tätigkeiten"
"","","011","","","011","Anbau einjähriger Pflanzen"
"","","","0111","","0111","Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten"
"","","","","011100","011100","Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten"
"","","","0112","","0112","Anbau von Reis"
"","","","","011200","011200","Anbau von Reis"
"","","","0113","","0113","Anbau von Gemüse und Melonen sowie Wurzeln und Knollen"
"","","","","011300","011300","Anbau von Gemüse und Melonen sowie Wurzeln und Knollen"
"","","","0114","","0114","Anbau von Zuckerrohr"
"","","","","011400","011400","Anbau von Zuckerrohr"
"","","","0115","","0115","Anbau von Tabak"
"","","","","011500","011500","Anbau von Tabak"
"","","","0116","","0116","Anbau von Faserpflanzen"
"","","","","011600","011600","Anbau von Faserpflanzen"
"","","","0119","","0119","Anbau von sonstigen einjährigen Pflanzen"
"","","","","011900","011900","Anbau von sonstigen einjährigen Pflanzen"
"","","012","","","012","Anbau mehrjähriger Pflanzen"
"","","","0121","","0121","Anbau von Wein- und Tafeltrauben"
"","","","","012101","012101","Anbau von Wein- und Tafeltrauben"
"","","","","012102","012102","Weinbau - Kellerei"
"","","","0122","","0122","Anbau von tropischen und subtropischen Früchten"
"","","","","012200","012200","Anbau von tropischen und subtropischen Früchten"
"","","","0123","","0123","Anbau von Zitrusfrüchten"
"","","","","012300","012300","Anbau von Zitrusfrüchten"
"","","","0124","","0124","Anbau von Kern- und Steinobst"
"","","","","012400","012400","Anbau von Kern- und Steinobst"
"","","","0125","","0125","Anbau von sonstigem Obst und Nüssen"
"","","","","012500","012500","Anbau von sonstigem Obst und Nüssen"
"","","","0126","","0126","Anbau von ölhaltigen Früchten"
"","","","","012600","012600","Anbau von ölhaltigen Früchten"
"","","","0127","","0127","Anbau von Pflanzen zur Herstellung von Getränken"
"","","","","012700","012700","Anbau von Pflanzen zur Herstellung von Getränken"
"","","","0128","","0128","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke"
"","","","","012800","012800","Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke"
"","","","0129","","0129","Anbau sonstiger mehrjähriger Pflanzen"
"","","","","012900","012900","Anbau sonstiger mehrjähriger Pflanzen"
"","","013","","","013","Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken"
"","","","0130","","0130","Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken"
"","","","","013000","013000","Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken"
"","","014","","","014","Tierhaltung"
"","","","0141","","0141","Haltung von Milchkühen"
"","","","","014100","014100","Haltung von Milchkühen"
"","","","0142","","0142","Haltung von anderen Rindern"
"","","","","014200","014200","Haltung von anderen Tieren der Rindergattung"
"","","","0143","","0143","Haltung von Pferden und Eseln"
"","","","","014300","014300","Haltung von Tieren der Pferdegattung"
"","","","0144","","0144","Haltung von Kamelen"
"","","","","014400","014400","Haltung von Kameliden"
"","","","0145","","0145","Haltung von Schafen und Ziegen"
"","","","","014500","014500","Haltung von Schafen und Ziegen"
"","","","0146","","0146","Haltung von Schweinen"
"","","","","014600","014600","Haltung von Schweinen"
"","","","0147","","0147","Haltung von Geflügel"
"","","","","014700","014700","Haltung von Geflügel"
"","","","0149","","0149","Sonstige Tierhaltung"
"","","","","014900","014900","Sonstige Tierhaltung"
"","","015","","","015","Gemischte Landwirtschaft"
"","","","0150","","0150","Gemischte Landwirtschaft"
"","","","","015000","015000","Gemischte Landwirtschaft"
"","","016","","","016","Erbringung von landwirtschaftlichen Dienstleistungen"
"","","","0161","","0161","Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau"
"","","","","016100","016100","Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau"
"","","","0162","","0162","Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung"
"","","","","016200","016200","Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung"
"","","","0163","","0163","Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung"
"","","","","016300","016300","Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung"
"","","","0164","","0164","Saatgutaufbereitung"
"","","","","016400","016400","Saatgutaufbereitung"
"","","017","","","017","Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
"","","","0170","","0170","Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
"","","","","017000","017000","Jagd, Fallenstellerei und damit verbundene Tätigkeiten"
"","02","","","","02","Forstwirtschaft und Holzeinschlag"
"","","021","","","021","Forstwirtschaft"
"","","","0210","","0210","Forstwirtschaft"
"","","","","021000","021000","Forstwirtschaft"
"","","022","","","022","Holzeinschlag"
"","","","0220","","0220","Holzeinschlag"
"","","","","022000","022000","Holzeinschlag"
"","","023","","","023","Sammeln von wild wachsenden Produkten (ohne Holz)"
"","","","0230","","0230","Sammeln von wild wachsenden Produkten (ohne Holz)"
"","","","","023000","023000","Sammeln von wild wachsenden Produkten (ohne Holz)"
"","","024","","","024","Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag"
"","","","0240","","0240","Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag"
"","","","","024000","024000","Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag"
"","03","","","","03","Fischerei und Aquakultur"
"","","031","","","031","Fischerei"
"","","","0311","","0311","Meeresfischerei"
"","","","","031100","031100","Meeresfischerei"
"","","","0312","","0312","Süsswasserfischerei"
"","","","","031200","031200","Süsswasserfischerei"
"","","032","","","032","Aquakultur"
"","","","0321","","0321","Meeresaquakultur"
"","","","","032100","032100","Meeresaquakultur"
"","","","0322","","0322","Süsswasseraquakultur"
"","","","","032200","032200","Süsswasseraquakultur"
"B","","","","","B","BERGBAU UND GEWINNUNG VON STEINEN UND ERDEN"
"","05","","","","05","Kohlenbergbau"
"","","051","","","051","Steinkohlenbergbau"
"","","","0510","","0510","Steinkohlenbergbau"
"","","","","051000","051000","Steinkohlenbergbau"
"","","052","","","052","Braunkohlenbergbau"
"","","","0520","","0520","Braunkohlenbergbau"
"","","","","052000","052000","Braunkohlenbergbau"
"","06","","","","06","Gewinnung von Erdöl und Erdgas"
"","","061","","","061","Gewinnung von Erdöl"
"","","","0610","","0610","Gewinnung von Erdöl"
"","","","","061000","061000","Gewinnung von Erdöl"
"","","062","","","062","Gewinnung von Erdgas"
"","","","0620","","0620","Gewinnung von Erdgas"
"","","","","062000","062000","Gewinnung von Erdgas"
"","07","","","","07","Erzbergbau"
"","","071","","","071","Eisenerzbergbau"
"","","","0710","","0710","Eisenerzbergbau"
"","","","","071000","071000","Eisenerzbergbau"
"","","072","","","072","NE-Metallerzbergbau"
"","","","0721","","0721","Bergbau auf Uran- und Thoriumerze"
"","","","","072100","072100","Bergbau von Uran- und Thoriumerze"
"","","","0729","","0729","Sonstiger NE-Metallerzbergbau"
"","","","","072900","072900","Sonstiger NE-Metallerzbergbau"
"","08","","","","08","Gewinnung von Steinen und Erden, sonstiger Bergbau"
"","","081","","","081","Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin"
"","","","0811","","0811","Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer"
"","","","","081100","081100","Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer"
"","","","0812","","0812","Gewinnung von Kies, Sand, Ton und Kaolin"
"","","","","081200","081200","Gewinnung von Kies, Sand, Ton und Kaolin"
"","","089","","","089","Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g."
"","","","0891","","0891","Bergbau auf chemische und Düngemittelminerale"
"","","","","089100","089100","Bergbau auf chemische und Düngemittelminerale"
"","","","0892","","0892","Torfgewinnung"
"","","","","089200","089200","Torfgewinnung"
"","","","0893","","0893","Gewinnung von Salz"
"","","","","089300","089300","Gewinnung von Salz"
"","","","0899","","0899","Gewinnung von Steinen und Erden a. n. g."
"","","","","089900","089900","Gewinnung von Steinen und Erden a. n. g."
"","09","","","","09","Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden"
"","","091","","","091","Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas"
"","","","0910","","0910","Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas"
"","","","","091000","091000","Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas"
"","","099","","","099","Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden"
"","","","0990","","0990","Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden"
"","","","","099000","099000","Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden"
"C","","","","","C","VERARBEITENDES GEWERBE/HERSTELLUNG VON WAREN"
"","10","","","","10","Herstellung von Nahrungs- und Futtermitteln"
"","","101","","","101","Schlachten und Fleischverarbeitung"
"","","","1011","","1011","Schlachten (ohne Schlachten von Geflügel)"
"","","","","101100","101100","Schlachten (ohne Schlachten von Geflügel)"
