Section,Division,Group,Class,Type,Code,Name_en
"A","","","","","A","AGRICULTURE, FORESTRY AND FISHING"
"","01","","","","01","Crop and animal production, hunting and related service activities"
"","","011","","","011","Growing of non-perennial crops"
"","","","0111","","0111","Growing of cereals (except rice), leguminous crops and oil seeds"
"","","","","011100","011100","Growing of cereals (except rice), leguminous crops and oil seeds"
"","","","0112","","0112","Growing of rice"
"","","","","011200","011200","Growing of rice"
"","","","0113","","0113","Growing of vegetables and melons, roots and tubers"
"","","","","011300","011300","Growing of vegetables and melons, roots and tubers"
"","","","0114","","0114","Growing of sugar cane"
"","","","","011400","011400","Growing of sugar cane"
"","","","0115","","0115","Growing of tobacco"
"","","","","011500","011500","Growing of tobacco"
"","","","0116","","0116","Growing of fibre crops"
"","","","","011600","011600","Growing of fibre crops"
"","","","0119","","0119","Growing of other non-perennial crops"
"","","","","011900","011900","Growing of other non-perennial crops"
"","","012","","","012","Growing of perennial crops"
"","","","0121","","0121","Growing of grapes"
"","","","","012101","012101","Growing of grapes"
"","","","","012102","012102","Viticulture - Vinification and cellaring"
"","","","0122","","0122","Growing of tropical and subtropical fruits"
"","","","","012200","012200","Growing of tropical and subtropical fruits"
"","","","0123","","0123","Growing of citrus fruits"
"","","","","012300","012300","Growing of citrus fruits"
"","","","0124","","0124","Growing of pome fruits and stone fruits"
"","","","","012400","012400","Growing of pome fruits and stone fruits"
"","","","0125","","0125","Growing of other tree and bush fruits and nuts"
"","","","","012500","012500","Growing of other tree and bush fruits and nuts"
"","","","0126","","0126","Growing of oleaginous fruits"
"","","","","012600","012600","Growing of oleaginous fruits"
"","","","0127","","0127","Growing of beverage crops"
"","","","","012700","012700","Growing of beverage crops"
"","","","0128","","0128","Growing of spices, aromatic, drug and pharmaceutical crops"
"","","","","012800","012800","Growing of spices, aromatic, drug and pharmaceutical crops"
"","","","0129","","0129","Growing of other perennial crops"
"","","","","012900","012900","Growing of other perennial crops"
"","","013","","","013","Plant propagation"
"","","","0130","","0130","Plant propagation"
"","","","","013000","013000","Plant propagation"
"","","014","","","014","Animal production"
"","","","0141","","0141","Raising of dairy cattle"
"","","","","014100","014100","Raising of dairy cattle"
"","","","0142","","0142","Raising of other cattle and buffaloes"
"","","","","014200","014200","Raising of other cattle and buffaloes"
"","","","0143","","0143","Raising of horses and other equines"
"","","","","014300","014300","Raising of horses and other equines"
"","","","0144","","0144","Raising of camels and camelids"
"","","","","014400","014400","Raising of camels and camelids"
"","","","0145","","0145","Raising of sheep and goats"
"","","","","014500","014500","Raising of sheep and goats"
"","","","0146","","0146","Raising of swine/pigs"
"","","","","014600","014600","Raising of swine/pigs"
"","","","0147","","0147","Raising of poultry"
"","","","","014700","014700","Raising of poultry"
"","","","0149","","0149","Raising of other animals"
"","","","","014900","014900","Raising of other animals"
"","","015","","","015","Mixed farming"
"","","","0150","","0150","Mixed farming"
"","","","","015000","015000","Mixed farming"
"","","016","","","016","Support activities to agriculture and post-harvest crop activities"
"","","","0161","","0161","Support activities for crop production"
"","","","","016100","016100","Support activities for crop production"
"","","","0162","","0162","Support activities for animal production"
"","","","","016200","016200","Support activities for animal production"
"","","","0163","","0163","Post-harvest crop activities"
"","","","","016300","016300","Post-harvest crop activities"
"","","","0164","","0164","Seed processing for propagation"
"","","","","016400","016400","Seed processing for propagation"
"","","017","","","017","Hunting, trapping and related service activities"
"","","","0170","","0170","Hunting, trapping and related service activities"
"","","","","017000","017000","Hunting, trapping and related service activities"
"","02","","","","02","Forestry and logging"
"","","021","","","021","Silviculture and other forestry activities"
"","","","0210","","0210","Silviculture and other forestry activities"
"","","","","021000","021000","Silviculture and other forestry activities"
"","","022","","","022","Logging"
"","","","0220","","0220","Logging"
"","","","","022000","022000","Logging"
"","","023","","","023","Gathering of wild growing non-wood products"
"","","","0230","","0230","Gathering of wild growing non-wood products"
"","","","","023000","023000","Gathering of wild growing non-wood products"
"","","024","","","024","Support services to forestry"
"","","","0240","","0240","Support services to forestry"
"","","","","024000","024000","Support services to forestry"
"","03","","","","03","Fishing and aquaculture"
"","","031","","","031","Fishing"
"","","","0311","","0311","Marine fishing"
"","","","","031100","031100","Marine fishing"
"","","","0312","","0312","Freshwater fishing"
"","","","","031200","031200","Freshwater fishing"
"","","032","","","032","Aquaculture"
"","","","0321","","0321","Marine aquaculture"
"","","","","032100","032100","Marine aquaculture"
"","","","0322","","0322","Freshwater aquaculture"
"","","","","032200","032200","Freshwater aquaculture"
"B","","","","","B","MINING AND QUARRYING"
"","05","","","","05","Mining of coal and lignite"
"","","051","","","051","Mining of hard coal"
"","","","0510","","0510","Mining of hard coal"
"","","","","051000","051000","Mining of hard coal"
"","","052","","","052","Mining of lignite"
"","","","0520","","0520","Mining of lignite"
"","","","","052000","052000","Mining of lignite"
"","06","","","","06","Extraction of crude petroleum and natural gas"
"","","061","","","061","Extraction of crude petroleum"
"","","","0610","","0610","Extraction of crude petroleum"
"","","","","061000","061000","Extraction of crude petroleum"
"","","062","","","062","Extraction of natural gas"
"","","","0620","","0620","Extraction of natural gas"
"","","","","062000","062000","Extraction of natural gas"
"","07","","","","07","Mining of metal ores"
"","","071","","","071","Mining of iron ores"
"","","","0710","","0710","Mining of iron ores"
"","","","","071000","071000","Mining of iron ores"
"","","072","","","072","Mining of non-ferrous metal ores"
"","","","0721","","0721","Mining of uranium and thorium ores"
"","","","","072100","072100","Mining of uranium and thorium ores"
"","","","0729","","0729","Mining of other non-ferrous metal ores"
"","","","","072900","072900","Mining of other non-ferrous metal ores"
"","08","","","","08","Other mining and quarrying"
"","","081","","","081","Quarrying of stone, sand and clay"
"","","","0811","","0811","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"","","","","081100","081100","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"","","","0812","","0812","Operation of gravel and sand pits; mining of clays and kaolin"
"","","","","081200","081200","Operation of gravel and sand pits; mining of clays and kaolin"
"","","089","","","089","Mining and quarrying n.e.c."
"","","","0891","","0891","Mining of chemical and fertiliser minerals"
"","","","","089100","089100","Mining of chemical and fertiliser minerals"
"","","","0892","","0892","Extraction of peat"
"","","","","089200","089200","Extraction of peat"
"","","","0893","","0893","Extraction of salt"
"","","","","089300","089300","Extraction of salt"
"","","","0899","","0899","Other mining and quarrying n.e.c."
"","","","","089900","089900","Other mining and quarrying n.e.c."
"","09","","","","09","Mining support service activities"
"","","091","","","091","Support activities for petroleum and natural gas extraction"
"","","","0910","","0910","Support activities for petroleum and natural gas extraction"
"","","","","091000","091000","Support activities for petroleum and natural gas extraction"
"","","099","","","099","Support activities for other mining and quarrying"
"","","","0990","","0990","Support activities for other mining and quarrying"
"","","","","099000","099000","Support activities for other mining and quarrying"
"C","","","","","C","MANUFACTURING"
"","10","","","","10","Manufacture of food products"
"","","101","","","101","Processing and preserving of meat and production of meat products"
"","","","1011","","1011","Processing and preserving of meat"
"","","","","101100","101100","Production and preserving of meat (except poultry meat)"
"","","","1012","","1012","Processing and preserving of poultry meat"
"","","","","101200","101200","Production and preserving of poultry meat"
"","","","1013","","1013","Production of meat and poultry meat products"
"","","","","101300","101300","Production of meat and poultry meat products"
"","","102","","","102","Processing and preserving of fish, crustaceans and molluscs"
"","","","1020","","1020","Processing and preserving of fish, crustaceans and molluscs"
"","","","","102000","102000","Processing and preserving of fish, crustaceans and molluscs"
"","","103","","","103","Processing and preserving of fruit and vegetables"
"","","","1031","","1031","Processing and preserving of potatoes"
"","","","","103100","103100","Processing and preserving of potatoes"
"","","","1032","","1032","Manufacture of fruit and vegetable juice"
"","","","","103200","103200","Manufacture of fruit and vegetable juice"
"","","","1039","","1039","Other processing and preserving of fruit and vegetables"
"","","","","103900","103900","Other processing and preserving of fruit and vegetables"
"","","104","","","104","Manufacture of vegetable and animal oils and fats"
"","","","1041","","1041","Manufacture of oils and fats"
"","","","","104100","104100","Manufacture of oils and fats"
"","","","1042","","1042","Manufacture of margarine and similar edible fats"
"","","","","104200","104200","Manufacture of margarine and similar edible fats"
"","","105","","","105","Manufacture of dairy products"
"","","","1051","","1051","Operation of dairies and cheese making"
"","","","","105101","105101","Manufacture of fresh dairy products"
"","","","","105102","105102","Manufacture of cheese"
"","","","","105103","105103","Other milk processing"
"","","","1052","","1052","Manufacture of ice cream"
"","","","","105200","105200","Manufacture of ice cream"
"","","106","","","106","Manufacture of grain mill products, starches and starch products"
"","","","1061","","1061","Manufacture of grain mill products"
"","","","","106100","106100","Manufacture of grain mill products"
"","","","1062","","1062","Manufacture of starches and starch products"
"","","","","106200","106200","Manufacture of starches and starch products"
"","","107","","","107","Manufacture of bakery and farinaceous products"
"","","","1071","","1071","Manufacture of bread; manufacture of fresh pastry goods and cakes"
"","","","","107100","107100","Manufacture of bread; manufacture of fresh pastry goods and cakes"
"","","","1072","","1072","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
"","","","","107200","107200","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
"","","","1073","","1073","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"","","","","107300","107300","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"","","108","","","108","Manufacture of other food products"
"","","","1081","","1081","Manufacture of sugar"
"","","","","108100","108100","Manufacture of sugar"
"","","","1082","","1082","Manufacture of cocoa, chocolate and sugar confectionery"
"","","","","108201","108201","Production of cocoa and chocolate"
"","","","","108202","108202","Production of confectionery and sugar confectionery"
"","","","1083","","1083","Processing of tea and coffee"
"","","","","108300","108300","Processing of tea and coffee"
"","","","1084","","1084","Manufacture of condiments and seasonings"
"","","","","108400","108400","Manufacture of condiments and seasonings"
"","","","1085","","1085","Manufacture of prepared meals and dishes"
"","","","","108500","108500","Manufacture of prepared meals and dishes"
"","","","1086","","1086","Manufacture of homogenised food preparations and dietetic food"
"","","","","108600","108600","Manufacture of homogenised food preparations and dietetic food"
"","","","1089","","1089","Manufacture of other food products n.e.c."
"","","","","108900","108900","Manufacture of other food products n.e.c."
"","","109","","","109","Manufacture of prepared animal feeds"
"","","","1091","","1091","Manufacture of prepared feeds for farm animals"
"","","","","109100","109100","Manufacture of prepared feeds for farm animals"
"","","","1092","","1092","Manufacture of prepared pet foods"
"","","","","109200","109200","Manufacture of prepared pet foods"
"","11","","","","11","Manufacture of beverages"
"","","110","","","110","Manufacture of beverages"
"","","","1101","","1101","Distilling, rectifying and blending of spirits"
"","","","","110100","110100","Distilling, rectifying and blending of spirits"
"","","","1102","","1102","Manufacture of wine from grape"
"","","","","110200","110200","Manufacture of wine from grape"
"","","","1103","","1103","Manufacture of cider and other fruit wines"
"","","","","110300","110300","Manufacture of cider and other fruit wines"
"","","","1104","","1104","Manufacture of other non-distilled fermented beverages"
"","","","","110400","110400","Manufacture of other non-distilled fermented beverages"
"","","","1105","","1105","Manufacture of beer"
"","","","","110500","110500","Manufacture of beer"
"","","","1106","","1106","Manufacture of malt"
"","","","","110600","110600","Manufacture of malt"
"","","","1107","","1107","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"","","","","110700","110700","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"","12","","","","12","Manufacture of tobacco products"
